# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
a e 	啊額	c=1 d=8.4539e-25 t=21961
a ge 	阿哥	c=0 d=1.78756e-11 t=21961
a ka 	阿卡	c=0 d=0.0246597 t=21961
a si dun 	阿斯頓	c=0 d=2.70565e-05 t=21961
a si dun fu gui hua jin kou liang 	阿斯頓富貴花進口量	c=1 d=0.000271921 t=21961
a ti 	阿嚏	c=1 d=5.40256e-22 t=21961
ai 	哎	c=4 d=1.45198e-12 t=21961
ai 	艾	c=1 d=2.08832e-16 t=21961
ai ya 	哎呀	c=1 d=2.94668e-08 t=21961
an 	安	c=3 d=1.45926e-12 t=21961
an 	按	c=6 d=0.0335275 t=21961
an jian 	按鍵	c=57 d=0.717831 t=21961
an li shuo 	按理說	c=1 d=0.000115643 t=21961
an men 	俺們	c=1 d=1.52668e-07 t=21961
an pai 	安排	c=1 d=8.61441e-11 t=21961
an xia 	按下	c=4 d=0.0569831 t=21961
an zhao 	按照	c=2 d=0.326701 t=21961
an zhuang 	安裝	c=4 d=6.24558e-08 t=21961
ang 	昂	c=2 d=9.38741e-13 t=21961
ao 	奧	c=2 d=9.43447e-13 t=21961
ao e a 	奧額啊	c=1 d=0.000581442 t=21961
ba 	八	c=7 d=0.00790705 t=21961
ba 	吧	c=26 d=0.587773 t=21961
ba 	把	c=12 d=0.358796 t=21961
ba 	拔	c=1 d=3.03591e-06 t=21961
ba 	霸	c=1 d=1.13119e-09 t=21961
ba a ge 	八阿哥	c=3 d=5.44404e-10 t=21961
ba ceng 	八層	c=1 d=0.00767337 t=21961
ba ge 	八哥	c=1 d=2.04064e-09 t=21961
ba guo 	八國	c=1 d=1.45797e-24 t=21961
ba ta 	把它	c=0 d=3.08127e-05 t=21961
ba ta men 	把它們	c=1 d=0.000309671 t=21961
ba wei chang 	八位長	c=1 d=2.8025e-06 t=21961
ba zi 	八字	c=0 d=9.42887e-16 t=21961
ba zi jie 	八字節	c=1 d=9.47613e-15 t=21961
ba zi jie 	吧字節	c=1 d=8.4467e-15 t=21961
bai 	白	c=3 d=1.36401e-12 t=21961
bai du 	百度	c=2 d=0.000390005 t=21961
bai hua 	白話	c=1 d=0.0325493 t=21961
bai ma si 	白馬寺	c=1 d=1.01615e-12 t=21961
ban 	板	c=3 d=0.192276 t=21961
ban 	版	c=16 d=0.202909 t=21961
ban ben 	版本	c=70 d=1.25819 t=21961
ban ben hao 	版本號	c=5 d=5.67738e-10 t=21961
ban ben xin xi 	版本信息	c=1 d=1.6957e-07 t=21961
ban fen zhong 	半分鐘	c=1 d=6.33996e-22 t=21961
ban gong 	辦公	c=1 d=6.95238e-48 t=21961
ban jiao 	半角	c=1 d=8.2865e-25 t=21961
ban li 	辦理	c=1 d=7.6442e-17 t=21961
ban quan 	版權	c=1 d=1.97758e-22 t=21961
ban sui 	伴隨	c=1 d=0.0303487 t=21961
ban xing 	半形	c=1 d=1.99745e-22 t=21961
