# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
a 	阿	c=4 d=9.81162e-34 t=52095
a li 	阿里	c=6 d=2.64919e-50 t=52095
ai 	哎	c=1 d=1.06268e-80 t=52095
ai 	唉	c=1 d=8.01239e-41 t=52095
ai 	愛	c=4 d=2.7192e-23 t=52095
ai 	艾	c=5 d=2.46051e-40 t=52095
ai ao er 	哎奧爾	c=1 d=4.64972e-80 t=52095
ai feng 	愛瘋	c=1 d=7.8931e-41 t=52095
ai hao 	愛好	c=0 d=9.96252e-81 t=52095
ai huai ai hao 	哎壞愛好	c=1 d=6.03036e-80 t=52095
ai la 	艾拉	c=2 d=8.21409e-10 t=52095
ai si 	愛死	c=1 d=7.93266e-41 t=52095
ai zhi hui 	愛智慧	c=1 d=2.41e-25 t=52095
an 	安	c=3 d=2.20555e-96 t=52095
an 	岸	c=5 d=3.12667e-29 t=52095
an 	按	c=39 d=3.63464e-06 t=52095
an 	案	c=2 d=3.15939e-29 t=52095
an hui 	安徽	c=1 d=4.93289e-99 t=52095
an jian 	按鍵	c=130 d=0.0037164 t=52095
an le 	按了	c=1 d=6.47973e-102 t=52095
an pai 	安排	c=1 d=6.74691e-48 t=52095
an quan 	安全	c=18 d=1.41972 t=52095
an xia 	按下	c=35 d=3.57964e-13 t=52095
an xu 	按需	c=1 d=1.0293e-75 t=52095
an ye 	按頁	c=1 d=6.72927e-76 t=52095
an yu qi 	按預期	c=1 d=1.0931e-106 t=52095
an yue 	按月	c=1 d=8.76965e-74 t=52095
an zhang 	案長	c=1 d=4.02211e-80 t=52095
an zhao 	按照	c=5 d=6.65934e-12 t=52095
an zhu 	按住	c=2 d=1.45961e-96 t=52095
an zhuang 	安裝	c=24 d=1.62688 t=52095
an zhuo 	安卓	c=1 d=2.77387e-91 t=52095
ang si 	盎司	c=0 d=3.49904e-89 t=52095
ao de sai 	奧德賽	c=1 d=2.39798e-25 t=52095
ao er 	奧爾	c=0 d=4.62653e-81 t=52095
ao men 	澳門	c=1 d=6.93089e-41 t=52095
ao ti 	奧體	c=1 d=1.16298e-41 t=52095
ao you liu lan qi 	傲游浏览器	c=1 d=0.985112 t=52095
ao yun 	奧運	c=1 d=1.01395e-104 t=52095
ao yun hui 	奧運會	c=2 d=1.98283e-104 t=52095
ao zhou 	澳洲	c=1 d=1.03502e-52 t=52095
ba 	八	c=1 d=4.08414e-113 t=52095
ba 	吧	c=50 d=0.00308872 t=52095
ba 	把	c=28 d=7.81082e-06 t=52095
ba 	拔	c=1 d=2.87883e-28 t=52095
ba cheng 	八成	c=1 d=1.14322e-104 t=52095
ba le 	罷了	c=1 d=3.2419e-43 t=52095
